date,game,home_team,away_team,event_id,commence_time,snapshot_time_utc,total_line,over_odds,under_odds,bookmaker_key
2024-01-15,Houston Rockets @ Philadelphia 76ers,Philadelphia 76ers,Houston Rockets,93af4b300a4c0dded909234ea32e9abd,2024-01-15T18:10:00Z,2024-01-15T16:00:00Z,228.0,-105,-115,draftkings
2024-01-15,New Orleans Pelicans @ Dallas Mavericks,Dallas Mavericks,New Orleans Pelicans,b15ce504a25bc1a46e14d486614bc1df,2024-01-15T19:40:00Z,2024-01-15T16:00:00Z,236.5,-110,-110,draftkings
2024-01-15,Detroit Pistons @ Washington Wizards,Washington Wizards,Detroit Pistons,61a7cfa4f1a9ae8c34cc2b721aa74e76,2024-01-15T20:10:00Z,2024-01-15T16:00:00Z,240.5,-110,-110,draftkings
2024-01-15,Orlando Magic @ New York Knicks,New York Knicks,Orlando Magic,7c2d8070230578e04e11541272a70fd1,2024-01-15T20:10:00Z,2024-01-15T16:00:00Z,220.5,-112,-108,draftkings
2024-01-15,San Antonio Spurs @ Atlanta Hawks,Atlanta Hawks,San Antonio Spurs,67bca0b36bc3e0ebfdf217d712cd60b6,2024-01-15T20:40:00Z,2024-01-15T16:00:00Z,246.5,-105,-115,draftkings
2024-01-15,Golden State Warriors @ Memphis Grizzlies,Memphis Grizzlies,Golden State Warriors,76815e2233440eaa53f0565105823d0d,2024-01-15T23:10:00Z,2024-01-15T16:00:00Z,227.0,-105,-115,draftkings
2024-01-15,Chicago Bulls @ Cleveland Cavaliers,Cleveland Cavaliers,Chicago Bulls,1a912694aef33d208f025892f35272e7,2024-01-16T00:10:00Z,2024-01-15T16:00:00Z,221.0,-108,-112,draftkings
2024-01-15,Boston Celtics @ Toronto Raptors,Toronto Raptors,Boston Celtics,b7b9c19dbda75e0bf14941bb53e3baf3,2024-01-16T00:30:00Z,2024-01-15T16:00:00Z,242.0,-108,-112,draftkings
2024-01-15,Miami Heat @ Brooklyn Nets,Brooklyn Nets,Miami Heat,88b173aa0eb780ba5617bcfd2dae9f78,2024-01-16T00:40:00Z,2024-01-15T16:00:00Z,221.0,-105,-115,draftkings
2024-01-15,Indiana Pacers @ Utah Jazz,Utah Jazz,Indiana Pacers,90a4e08060d5bf7daf348bc0dc48f636,2024-01-16T02:10:00Z,2024-01-15T16:00:00Z,245.0,-110,-110,draftkings
2024-01-15,Oklahoma City Thunder @ Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,23de53fa4ec1fddc1880355fb05706b4,2024-01-16T03:40:00Z,2024-01-15T16:00:00Z,238.0,-112,-108,draftkings
2021-10-19,Brooklyn Nets @ Milwaukee Bucks,Milwaukee Bucks,Brooklyn Nets,4490e7634ad9d3f552369edcb6b15806,2021-10-19T23:30:00Z,2021-10-19T16:00:00Z,233.0,-115,-105,draftkings
2021-10-19,Golden State Warriors @ Los Angeles Lakers,Los Angeles Lakers,Golden State Warriors,f0cd0347e89de80d1e9fceecbc3df76a,2021-10-20T02:00:00Z,2021-10-19T16:00:00Z,226.5,-105,-115,draftkings
2021-12-25,Atlanta Hawks @ New York Knicks,New York Knicks,Atlanta Hawks,c4acf0087c5c1c5773131790f1ded291,2021-12-25T17:00:00Z,2021-10-19T16:00:00Z,219.5,-110,-110,draftkings
