date,player,game,line
2025-10-21,Shai Gilgeous-Alexander,Houston Rockets @ Oklahoma City Thunder,32.5
2025-10-21,Kevin Durant,Houston Rockets @ Oklahoma City Thunder,23.5
2025-10-21,Alperen Sengun,Houston Rockets @ Oklahoma City Thunder,18.5
2025-10-21,Chet Holmgren,Houston Rockets @ Oklahoma City Thunder,16.5
2025-10-21,Amen Thompson,Houston Rockets @ Oklahoma City Thunder,15.5
2025-10-21,Jabari Smith Jr,Houston Rockets @ Oklahoma City Thunder,11.5
2025-10-21,Aaron Wiggins,Houston Rockets @ Oklahoma City Thunder,11.5
2025-10-21,Isaiah Hartenstein,Houston Rockets @ Oklahoma City Thunder,10.5
2025-10-21,Tari Eason,Houston Rockets @ Oklahoma City Thunder,10.5
2025-10-21,Luguentz Dort,Houston Rockets @ Oklahoma City Thunder,9.5
2025-10-21,Alex Caruso,Houston Rockets @ Oklahoma City Thunder,9.5
2025-10-21,Reed Sheppard,Houston Rockets @ Oklahoma City Thunder,8.5
2025-10-21,Cason Wallace,Houston Rockets @ Oklahoma City Thunder,7.5
2025-10-21,Steven Adams,Houston Rockets @ Oklahoma City Thunder,5.5
2025-10-21,Luka Doncic,Golden State Warriors @ Los Angeles Lakers,30.5
2025-10-21,Stephen Curry,Golden State Warriors @ Los Angeles Lakers,26.5
2025-10-21,Austin Reaves,Golden State Warriors @ Los Angeles Lakers,21.5
2025-10-21,Jimmy Butler,Golden State Warriors @ Los Angeles Lakers,17.5
2025-10-21,Deandre Ayton,Golden State Warriors @ Los Angeles Lakers,13.5
2025-10-21,Jonathan Kuminga,Golden State Warriors @ Los Angeles Lakers,13.5
2025-10-21,Brandin Podziemski,Golden State Warriors @ Los Angeles Lakers,13.5
2025-10-21,Rui Hachimura,Golden State Warriors @ Los Angeles Lakers,12.5
2025-10-21,Buddy Hield,Golden State Warriors @ Los Angeles Lakers,9.5
2025-10-21,Draymond Green,Golden State Warriors @ Los Angeles Lakers,8.5
2025-10-21,Marcus Smart,Golden State Warriors @ Los Angeles Lakers,7.5
2025-10-21,Gabe Vincent,Golden State Warriors @ Los Angeles Lakers,7.5
2025-10-21,Al Horford,Golden State Warriors @ Los Angeles Lakers,7.5
2025-10-21,Cam Thomas,Brooklyn Nets @ Charlotte Hornets,23.5
2025-10-21,LaMelo Ball,Brooklyn Nets @ Charlotte Hornets,22.5
2025-10-21,Michael Porter Jr,Brooklyn Nets @ Charlotte Hornets,19.5
2025-10-21,Miles Bridges,Brooklyn Nets @ Charlotte Hornets,19.5
2025-10-21,Brandon Miller,Brooklyn Nets @ Charlotte Hornets,18.5
2025-10-21,Collin Sexton,Brooklyn Nets @ Charlotte Hornets,15.5
2025-10-21,Nicolas Claxton,Brooklyn Nets @ Charlotte Hornets,10.5
2025-10-21,Kon Knueppel,Brooklyn Nets @ Charlotte Hornets,9.5
2025-10-21,Terance Mann,Brooklyn Nets @ Charlotte Hornets,8.5
