date,player,game,side,line,american_odds
2026-04-10,James Harden,Cleveland Cavaliers @ Atlanta Hawks,Over,22.5,-123
2026-04-10,James Harden,Cleveland Cavaliers @ Atlanta Hawks,Under,22.5,-103
2026-04-10,Jalen Johnson,Cleveland Cavaliers @ Atlanta Hawks,Over,21.5,-115
2026-04-10,Jalen Johnson,Cleveland Cavaliers @ Atlanta Hawks,Under,21.5,-111
2026-04-10,Nickeil Alexander-Walker,Cleveland Cavaliers @ Atlanta Hawks,Over,21.5,-103
2026-04-10,Nickeil Alexander-Walker,Cleveland Cavaliers @ Atlanta Hawks,Under,21.5,-124
2026-04-10,C.J. McCollum,Cleveland Cavaliers @ Atlanta Hawks,Over,18.5,-112
2026-04-10,C.J. McCollum,Cleveland Cavaliers @ Atlanta Hawks,Under,18.5,-114
2026-04-10,Evan Mobley,Cleveland Cavaliers @ Atlanta Hawks,Over,18.5,-104
2026-04-10,Evan Mobley,Cleveland Cavaliers @ Atlanta Hawks,Under,18.5,-123
2026-04-10,Onyeka Okongwu,Cleveland Cavaliers @ Atlanta Hawks,Over,15.5,-108
2026-04-10,Onyeka Okongwu,Cleveland Cavaliers @ Atlanta Hawks,Under,15.5,-118
2026-04-10,Jonathan Kuminga,Cleveland Cavaliers @ Atlanta Hawks,Over,12.5,-120
2026-04-10,Jonathan Kuminga,Cleveland Cavaliers @ Atlanta Hawks,Under,12.5,-106
2026-04-10,Dyson Daniels,Cleveland Cavaliers @ Atlanta Hawks,Over,11.5,-130
2026-04-10,Dyson Daniels,Cleveland Cavaliers @ Atlanta Hawks,Under,11.5,102
2026-04-10,Max Strus,Cleveland Cavaliers @ Atlanta Hawks,Over,10.5,-118
2026-04-10,Max Strus,Cleveland Cavaliers @ Atlanta Hawks,Under,10.5,-108
2026-04-10,LaMelo Ball,Detroit Pistons @ Charlotte Hornets,Over,22.5,-104
2026-04-10,LaMelo Ball,Detroit Pistons @ Charlotte Hornets,Under,22.5,-123
2026-04-10,Brandon Miller,Detroit Pistons @ Charlotte Hornets,Over,19.5,-115
2026-04-10,Brandon Miller,Detroit Pistons @ Charlotte Hornets,Under,19.5,-110
2026-04-10,Kon Knueppel,Detroit Pistons @ Charlotte Hornets,Over,17.5,-122
2026-04-10,Kon Knueppel,Detroit Pistons @ Charlotte Hornets,Under,17.5,-105
2026-04-10,Miles Bridges,Detroit Pistons @ Charlotte Hornets,Over,15.5,-103
2026-04-10,Miles Bridges,Detroit Pistons @ Charlotte Hornets,Under,15.5,-124
2026-04-10,Coby White,Detroit Pistons @ Charlotte Hornets,Over,13.5,-101
2026-04-10,Coby White,Detroit Pistons @ Charlotte Hornets,Under,13.5,-126
2026-04-10,Moussa Diabate,Detroit Pistons @ Charlotte Hornets,Over,6.5,-124
2026-04-10,Moussa Diabate,Detroit Pistons @ Charlotte Hornets,Under,6.5,-103
2026-04-10,Grant Williams,Detroit Pistons @ Charlotte Hornets,Over,6.5,-109
2026-04-10,Grant Williams,Detroit Pistons @ Charlotte Hornets,Under,6.5,-117
2026-04-10,Tyrese Maxey,Philadelphia 76ers @ Indiana Pacers,Over,29.5,-107
2026-04-10,Tyrese Maxey,Philadelphia 76ers @ Indiana Pacers,Under,29.5,-119
2026-04-10,Paul George,Philadelphia 76ers @ Indiana Pacers,Over,20.5,-110
2026-04-10,Paul George,Philadelphia 76ers @ Indiana Pacers,Under,20.5,-116
2026-04-10,VJ Edgecombe,Philadelphia 76ers @ Indiana Pacers,Over,17.5,-113
2026-04-10,VJ Edgecombe,Philadelphia 76ers @ Indiana Pacers,Under,17.5,-113
2026-04-10,Kelly Oubre Jr,Philadelphia 76ers @ Indiana Pacers,Over,14.5,-117
2026-04-10,Kelly Oubre Jr,Philadelphia 76ers @ Indiana Pacers,Under,14.5,-109
2026-04-10,Brandon Ingram,Toronto Raptors @ New York Knicks,Over,21.5,-113
2026-04-10,Brandon Ingram,Toronto Raptors @ New York Knicks,Under,21.5,-113
2026-04-10,R.J. Barrett,Toronto Raptors @ New York Knicks,Over,19.5,-108
2026-04-10,R.J. Barrett,Toronto Raptors @ New York Knicks,Under,19.5,-118
2026-04-10,Scottie Barnes,Toronto Raptors @ New York Knicks,Over,15.5,-113
2026-04-10,Scottie Barnes,Toronto Raptors @ New York Knicks,Under,15.5,-113
2026-04-10,Jakob Poeltl,Toronto Raptors @ New York Knicks,Over,9.5,-101
2026-04-10,Jakob Poeltl,Toronto Raptors @ New York Knicks,Under,9.5,-126
2026-04-10,Ja'Kobe Walter,Toronto Raptors @ New York Knicks,Over,7.5,-128
2026-04-10,Ja'Kobe Walter,Toronto Raptors @ New York Knicks,Under,7.5,100
2026-04-10,Jamal Shead,Toronto Raptors @ New York Knicks,Over,6.5,107
2026-04-10,Jamal Shead,Toronto Raptors @ New York Knicks,Under,6.5,-136
2026-04-10,Paolo Banchero,Orlando Magic @ Chicago Bulls,Over,22.5,-125
2026-04-10,Paolo Banchero,Orlando Magic @ Chicago Bulls,Under,22.5,-102
2026-04-10,Desmond Bane,Orlando Magic @ Chicago Bulls,Over,20.5,-109
2026-04-10,Desmond Bane,Orlando Magic @ Chicago Bulls,Under,20.5,-117
2026-04-10,Franz Wagner,Orlando Magic @ Chicago Bulls,Over,14.5,-124
2026-04-10,Franz Wagner,Orlando Magic @ Chicago Bulls,Under,14.5,-103
2026-04-10,Jalen Suggs,Orlando Magic @ Chicago Bulls,Over,13.5,-109
2026-04-10,Jalen Suggs,Orlando Magic @ Chicago Bulls,Under,13.5,-117
2026-04-10,Wendell Carter Jr,Orlando Magic @ Chicago Bulls,Over,11.5,-101
2026-04-10,Wendell Carter Jr,Orlando Magic @ Chicago Bulls,Under,11.5,-126
2026-04-10,Anthony Black,Orlando Magic @ Chicago Bulls,Over,9.5,-124
2026-04-10,Anthony Black,Orlando Magic @ Chicago Bulls,Under,9.5,-103
2026-04-10,Kevin Durant,Minnesota Timberwolves @ Houston Rockets,Over,25.5,-110
2026-04-10,Kevin Durant,Minnesota Timberwolves @ Houston Rockets,Under,25.5,-116
2026-04-10,Alperen Sengun,Minnesota Timberwolves @ Houston Rockets,Over,18.5,-122
2026-04-10,Alperen Sengun,Minnesota Timberwolves @ Houston Rockets,Under,18.5,-105
2026-04-10,Amen Thompson,Minnesota Timberwolves @ Houston Rockets,Over,17.5,-105
2026-04-10,Amen Thompson,Minnesota Timberwolves @ Houston Rockets,Under,17.5,-122
2026-04-10,Jabari Smith Jr,Minnesota Timberwolves @ Houston Rockets,Over,15.5,-113
2026-04-10,Jabari Smith Jr,Minnesota Timberwolves @ Houston Rockets,Under,15.5,-113
2026-04-10,Kawhi Leonard,Los Angeles Clippers @ Portland Trail Blazers,Over,26.5,-120
2026-04-10,Kawhi Leonard,Los Angeles Clippers @ Portland Trail Blazers,Under,26.5,-106
2026-04-10,Deni Avdija,Los Angeles Clippers @ Portland Trail Blazers,Over,25.5,-109
2026-04-10,Deni Avdija,Los Angeles Clippers @ Portland Trail Blazers,Under,25.5,-116
2026-04-10,Darius Garland,Los Angeles Clippers @ Portland Trail Blazers,Over,20.5,-103
2026-04-10,Darius Garland,Los Angeles Clippers @ Portland Trail Blazers,Under,20.5,-124
2026-04-10,Jrue Holiday,Los Angeles Clippers @ Portland Trail Blazers,Over,17.5,-108
2026-04-10,Jrue Holiday,Los Angeles Clippers @ Portland Trail Blazers,Under,17.5,-118
2026-04-10,Scoot Henderson,Los Angeles Clippers @ Portland Trail Blazers,Over,14.5,-117
2026-04-10,Scoot Henderson,Los Angeles Clippers @ Portland Trail Blazers,Under,14.5,-109
2026-04-10,Bennedict Mathurin,Los Angeles Clippers @ Portland Trail Blazers,Over,14.5,101
2026-04-10,Bennedict Mathurin,Los Angeles Clippers @ Portland Trail Blazers,Under,14.5,-128
2026-04-10,Toumani Camara,Los Angeles Clippers @ Portland Trail Blazers,Over,13.5,-122
2026-04-10,Toumani Camara,Los Angeles Clippers @ Portland Trail Blazers,Under,13.5,-105
2026-04-10,John Collins,Los Angeles Clippers @ Portland Trail Blazers,Over,12.5,-107
2026-04-10,John Collins,Los Angeles Clippers @ Portland Trail Blazers,Under,12.5,-120
2026-04-10,Brook Lopez,Los Angeles Clippers @ Portland Trail Blazers,Over,12.5,-104
2026-04-10,Brook Lopez,Los Angeles Clippers @ Portland Trail Blazers,Under,12.5,-123
2026-04-10,Donovan Clingan,Los Angeles Clippers @ Portland Trail Blazers,Over,12.5,101
2026-04-10,Donovan Clingan,Los Angeles Clippers @ Portland Trail Blazers,Under,12.5,-128
2026-04-10,Derrick Jones,Los Angeles Clippers @ Portland Trail Blazers,Over,8.5,-120
2026-04-10,Derrick Jones,Los Angeles Clippers @ Portland Trail Blazers,Under,8.5,-107
2026-04-10,Kris Dunn,Los Angeles Clippers @ Portland Trail Blazers,Over,5.5,105
2026-04-10,Kris Dunn,Los Angeles Clippers @ Portland Trail Blazers,Under,5.5,-134
2026-04-09,Tyler Herro,Miami Heat @ Toronto Raptors,Over,21.5,-107
2026-04-09,Tyler Herro,Miami Heat @ Toronto Raptors,Under,21.5,-119
2026-04-09,Brandon Ingram,Miami Heat @ Toronto Raptors,Over,20.5,-123
2026-04-09,Brandon Ingram,Miami Heat @ Toronto Raptors,Under,20.5,-103
2026-04-09,Bam Adebayo,Miami Heat @ Toronto Raptors,Over,20.5,-120
2026-04-09,Bam Adebayo,Miami Heat @ Toronto Raptors,Under,20.5,-106
2026-04-09,R.J. Barrett,Miami Heat @ Toronto Raptors,Over,20.5,-115
2026-04-09,R.J. Barrett,Miami Heat @ Toronto Raptors,Under,20.5,-110
2026-04-09,Norman Powell,Miami Heat @ Toronto Raptors,Over,17.5,-117
2026-04-09,Norman Powell,Miami Heat @ Toronto Raptors,Under,17.5,-109
2026-04-09,Scottie Barnes,Miami Heat @ Toronto Raptors,Over,17.5,-115
2026-04-09,Scottie Barnes,Miami Heat @ Toronto Raptors,Under,17.5,-111
2026-04-09,Andrew Wiggins,Miami Heat @ Toronto Raptors,Over,14.5,-110
2026-04-09,Andrew Wiggins,Miami Heat @ Toronto Raptors,Under,14.5,-116
2026-04-09,Immanuel Quickley,Miami Heat @ Toronto Raptors,Over,13.5,-105
2026-04-09,Immanuel Quickley,Miami Heat @ Toronto Raptors,Under,13.5,-121
2026-04-09,Jaime Jaquez Jr,Miami Heat @ Toronto Raptors,Over,12.5,-106
2026-04-09,Jaime Jaquez Jr,Miami Heat @ Toronto Raptors,Under,12.5,-120
2026-04-09,Jakob Poeltl,Miami Heat @ Toronto Raptors,Over,11.5,-109
2026-04-09,Jakob Poeltl,Miami Heat @ Toronto Raptors,Under,11.5,-117
2026-04-09,Pelle Larsson,Miami Heat @ Toronto Raptors,Over,11.5,-103
2026-04-09,Pelle Larsson,Miami Heat @ Toronto Raptors,Under,11.5,-124
2026-04-09,Sandro Mamukelashvili,Miami Heat @ Toronto Raptors,Over,9.5,-128
2026-04-09,Sandro Mamukelashvili,Miami Heat @ Toronto Raptors,Under,9.5,101
2026-04-09,Davion Mitchell,Miami Heat @ Toronto Raptors,Over,8.5,-115
2026-04-09,Davion Mitchell,Miami Heat @ Toronto Raptors,Under,8.5,-111
2026-04-09,Ja'Kobe Walter,Miami Heat @ Toronto Raptors,Over,8.5,-108
2026-04-09,Ja'Kobe Walter,Miami Heat @ Toronto Raptors,Under,8.5,-118
2026-04-09,Jamal Shead,Miami Heat @ Toronto Raptors,Over,5.5,-129
2026-04-09,Jamal Shead,Miami Heat @ Toronto Raptors,Under,5.5,101
2026-04-09,Jalen Brunson,Boston Celtics @ New York Knicks,Over,25.5,-111
2026-04-09,Jalen Brunson,Boston Celtics @ New York Knicks,Under,25.5,-114
2026-04-09,Karl-Anthony Towns,Boston Celtics @ New York Knicks,Over,18.5,-107
2026-04-09,Karl-Anthony Towns,Boston Celtics @ New York Knicks,Under,18.5,-119
2026-04-09,OG Anunoby,Boston Celtics @ New York Knicks,Over,16.5,-105
2026-04-09,OG Anunoby,Boston Celtics @ New York Knicks,Under,16.5,-122
2026-04-09,Mikal Bridges,Boston Celtics @ New York Knicks,Over,12.5,-102
2026-04-09,Mikal Bridges,Boston Celtics @ New York Knicks,Under,12.5,-125
2026-04-09,Josh Hart,Boston Celtics @ New York Knicks,Over,11.5,100
2026-04-09,Josh Hart,Boston Celtics @ New York Knicks,Under,11.5,-127
2026-04-09,Joel Embiid,Philadelphia 76ers @ Houston Rockets,Over,27.5,-123
2026-04-09,Joel Embiid,Philadelphia 76ers @ Houston Rockets,Under,27.5,-104
