scrape_time_utc,event_id,home_team,away_team,bookmaker,player,side,line,american_odds,implied_probability
2026-05-25T22:29:04.259940+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jalen Brunson,Over,26.5,-123,0.5515695067264574
2026-05-25T22:29:04.259987+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jalen Brunson,Under,26.5,-103,0.5073891625615764
2026-05-25T22:29:04.259997+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Donovan Mitchell,Over,26.5,-122,0.5495495495495496
2026-05-25T22:29:04.260003+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Donovan Mitchell,Under,26.5,-105,0.5121951219512195
2026-05-25T22:29:04.260010+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,James Harden,Over,18.5,-114,0.5327102803738317
2026-05-25T22:29:04.260015+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,James Harden,Under,18.5,-111,0.5260663507109005
2026-05-25T22:29:04.260020+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Karl-Anthony Towns,Over,17.5,-121,0.5475113122171946
2026-05-25T22:29:04.260026+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Karl-Anthony Towns,Under,17.5,-105,0.5121951219512195
2026-05-25T22:29:04.260031+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Evan Mobley,Over,16.5,-116,0.5370370370370371
2026-05-25T22:29:04.260035+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Evan Mobley,Under,16.5,-109,0.5215311004784688
2026-05-25T22:29:04.260040+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,OG Anunoby,Over,15.5,-104,0.5098039215686274
2026-05-25T22:29:04.260045+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,OG Anunoby,Under,15.5,-123,0.5515695067264574
2026-05-25T22:29:04.260050+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Mikal Bridges,Over,14.5,-122,0.5495495495495496
2026-05-25T22:29:04.260055+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Mikal Bridges,Under,14.5,-105,0.5121951219512195
2026-05-25T22:29:04.260059+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jarrett Allen,Over,12.5,-121,0.5475113122171946
2026-05-25T22:29:04.260064+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jarrett Allen,Under,12.5,-105,0.5121951219512195
2026-05-25T22:29:04.260068+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Josh Hart,Over,12.5,-119,0.54337899543379
2026-05-25T22:29:04.260073+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Josh Hart,Under,12.5,-107,0.5169082125603864
2026-05-25T22:29:04.260077+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Max Strus,Over,9.5,-112,0.5283018867924528
2026-05-25T22:29:04.260081+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Max Strus,Under,9.5,-114,0.5327102803738317
2026-05-25T22:29:04.260086+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Sam Merrill,Over,8.5,-108,0.5192307692307693
2026-05-25T22:29:04.260090+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Sam Merrill,Under,8.5,-118,0.5412844036697247
2026-05-25T22:29:04.260095+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Landry Shamet,Over,5.5,-124,0.5535714285714286
2026-05-25T22:29:04.260099+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Landry Shamet,Under,5.5,-103,0.5073891625615764
2026-05-25T22:29:04.260104+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Miles McBride,Over,5.5,-103,0.5073891625615764
2026-05-25T22:29:04.260109+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Miles McBride,Under,5.5,-124,0.5535714285714286
2026-05-25T22:29:04.260113+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jaylon Tyson,Over,4.5,-105,0.5121951219512195
2026-05-25T22:29:04.260119+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Jaylon Tyson,Under,4.5,-121,0.5475113122171946
2026-05-25T22:29:04.260124+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Dennis Schroder,Over,4.5,106,0.4854368932038835
2026-05-25T22:29:04.260130+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Dennis Schroder,Under,4.5,-136,0.576271186440678
2026-05-25T22:29:04.260135+00:00,a752ca36635e2ccb1bb5a9f387282e1c,Cleveland Cavaliers,New York Knicks,DraftKings,Mitchell Robinson,Over,3.5,-117,0.5391705069124424
