threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets,diagnostic_type,scoring_role,line_bucket,market_prob_bucket,abs_edge_bucket,minutes_bucket,contact_bucket,matchup_pts_bucket,matchup_contact_bucket
0.075,,46.0,0.6956521739130435,0.2932754954112518,13.490672788917582,0.8675256281163192,0.3380597482152181,-2.0,0.09574915148899098,0.5370950001255265,0.5048013899338569,7.5,True,line,,low_line,,,,,,
0.075,,137.0,0.6204379562043796,0.16426296056979828,22.504025598062363,0.914967419006325,0.179528753874309,-8.658389004427828,0.10443079869603596,0.41752958840314314,0.5012277737872164,18.259124087591243,True,matchup_contact,,,,,,,,"(0.633, 6.1]"
0.075,,32.0,0.625,0.163435890279034,5.229948488929088,0.9182449174387558,0.17798725282891062,-4.1803278688524586,0.08959956282179653,0.47840661411498253,0.5011278023117323,8.90625,True,role,low_usage,,,,,,,
0.075,,167.0,0.6167664670658682,0.15526573512086464,25.929377765184395,0.9144443711988749,0.16979243353787038,-10.058433501956682,0.11157845279374719,0.40303793964904033,0.4977571463231123,21.038922155688624,True,matchup_pts,,,,,,,"(-19.601000000000003, -2.5]",
0.1,,64.0,0.609375,0.14969972452917873,9.580782369867439,0.9285879172427707,0.1612122253040701,-7.367456678453974,0.12488018494737446,0.3860681124019215,0.500230894743591,19.875,True,matchup_contact,,,,,,,,"(0.633, 6.1]"
0.1,,89.0,0.5955056179775281,0.11511690029463169,10.24540412622222,0.9251197179549149,0.12443459809624535,-10.422187104930467,0.13352042222704794,0.38512713683000205,0.4979557949901655,23.410112359550563,True,matchup_pts,,,,,,,"(-19.601000000000003, -2.5]",
0.05,,269.0,0.5947955390334573,0.11348442923855331,30.52731146517084,0.9218299647309577,0.12310776778847117,-12.434183659094952,0.09278143169425292,0.42664849304481706,0.4982016505438361,19.84200743494424,True,matchup_pts,,,,,,,"(-19.601000000000003, -2.5]",
0.075,,116.0,0.5775862068965517,0.07613709140594897,8.83190260309008,0.9258469622507949,0.08223507178859743,-6.749684812153486,0.09516246289636689,0.47290176375843845,0.5004280246130064,11.991379310344827,True,contact,,,,,,"(0.0038900000000000002, 0.0619]",,
0.075,,199.0,0.5678391959798995,0.06555110856956547,13.04467060534353,0.9326739399383495,0.07028298504180192,-8.448946721083642,0.12083077826417662,0.39446542707996657,0.49870067375799615,24.022613065326635,True,role,star,,,,,,,
0.1,,77.0,0.5584415584415584,0.06172704871576205,4.752982751113678,0.9512360127012585,0.0648914127425365,-8.144170461379844,0.12630721287574712,0.3900557447048102,0.501172127853722,18.81168831168831,True,contact,,,,,,"(0.0936, 0.134]",,
0.1,,68.0,0.5588235294117647,0.04885028578255039,3.3218194332134265,0.9398078286362072,0.051979015596666185,-4.252847447254389,0.12467128803974833,0.40640617909608096,0.4947866621358438,17.397058823529413,True,matchup_contact,,,,,,,,"(-0.803, -0.0333]"
0.1,,138.0,0.5579710144927537,0.0485592020142517,6.701169877966734,0.9374169520298957,0.05180107092057694,-10.591594785143172,0.1357058631421489,0.38118667554299984,0.4988643646569621,24.463768115942027,True,role,star,,,,,,,
0.025,,280.0,0.5571428571428572,0.04005351984885101,11.214985557678284,0.9300317090304301,0.043066832517578695,-14.387893484709132,0.08607520086684169,0.4449132062107822,0.4989898802731085,15.992857142857142,True,edge,,,,edge_7_5_10,,,,
0.075,,280.0,0.5571428571428572,0.04005351984885101,11.214985557678284,0.9300317090304301,0.043066832517578695,-14.387893484709132,0.08607520086684169,0.4449132062107822,0.4989898802731085,15.992857142857142,True,edge,,,,edge_7_5_10,,,,
0.05,,280.0,0.5571428571428572,0.04005351984885101,11.214985557678284,0.9300317090304301,0.043066832517578695,-14.387893484709132,0.08607520086684169,0.4449132062107822,0.4989898802731085,15.992857142857142,True,edge,,,,edge_7_5_10,,,,
0.05,,260.0,0.5538461538461539,0.0390240730226079,10.146258985878054,0.9353563528865133,0.04172107550473086,-17.446660610776554,0.083790034500723,0.438588522418738,0.5014252102382714,17.161538461538463,True,matchup_contact,,,,,,,,"(0.633, 6.1]"
0.075,,140.0,0.55,0.037769079078190604,5.2876710709466845,0.9429962788769156,0.04005220372997931,-8.788248014802,0.1087136363725347,0.40692754179487656,0.49912908729716826,18.37857142857143,True,contact,,,,,,"(0.0936, 0.134]",,
0.025,,54.0,0.5555555555555556,0.03452663854953169,1.864438481674711,0.9364954341068923,0.036867919791257406,-5.5688596521454325,0.057551478234600974,0.47871087834214837,0.5046479655856313,8.351851851851851,True,minutes,,,,,low_minutes,,,
0.075,,176.0,0.5511363636363636,0.03391368872744766,5.968809216030788,0.9364502832753321,0.03621515133599086,-8.308338190411165,0.11897473672967304,0.38911988702868033,0.49884621188990136,25.164772727272727,True,line,,star_line,,,,,,
0.075,,307.0,0.5570032573289903,0.027644468215719236,8.486851742225806,0.9184563596728823,0.030098836950255423,-8.661776904237337,0.10698587959404658,0.4016568929345441,0.48653697371039983,18.22638436482085,True,market_prob,,,market_slight_under,,,,,
0.05,,118.0,0.5508474576271186,0.02730647175745717,3.222163667379946,0.9333633595687731,0.02925599283228039,-7.53889478880275,0.07442379784950044,0.52392969414404,0.5012642044321051,7.38135593220339,True,line,,low_line,,,,,,
0.025,,413.0,0.5472154963680388,0.025177142341759925,10.398159787146849,0.934665766631158,0.026937054122038305,-23.857277924704324,0.07348120105998224,0.44529930269778173,0.49848143623421687,18.52179176755448,True,matchup_pts,,,,,,,"(-19.601000000000003, -2.5]",
0.025,,180.0,0.55,0.02467441443730683,4.441394598715229,0.9316170954584921,0.026485574983103333,-19.8218106297687,0.052662752082534424,0.5018650895476686,0.5010600242249612,7.605555555555555,True,role,low_usage,,,,,,,
0.025,,357.0,0.5434173669467787,0.022143245197406985,7.905138535474293,0.9389761576597776,0.02358232955839356,-16.283890134140844,0.08979884206046067,0.4271987987997634,0.4991844488594572,23.659663865546218,True,role,star,,,,,,,
